order_purchase_timestamp,payment_value
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,1447.99
2017-01-08,809.63
2017-01-09,774.51
2017-01-10,1571.17
2017-01-11,3062.33
2017-01-12,2502.69
2017-01-13,2903.9700000000003
2017-01-14,1507.36
2017-01-15,2551.34
2017-01-16,3712.2400000000002
2017-01-17,3893.61
2017-01-18,4683.38
2017-01-19,4140.16
2017-01-20,4698.07
2017-01-21,3094.76
2017-01-22,4280.22
2017-01-23,7553.889999999999
2017-01-24,6794.5
2017-01-25,10434.31
2017-01-26,15191.96
2017-01-27,12904.13
2017-01-28,5909.98
2017-01-29,7160.66
2017-01-30,12187.9
2017-01-31,13021.73
2017-02-01,10310.99
2017-02-02,10676.54
2017-02-03,11639.19
2017-02-04,15747.17
2017-02-05,10153.24
2017-02-06,11626.0
2017-02-07,16627.21
2017-02-08,14299.97
2017-02-09,10844.17
2017-02-10,15674.09
2017-02-11,5648.37
2017-02-12,16682.29
2017-02-13,13092.09
2017-02-14,15309.08
2017-02-15,8326.4
2017-02-16,7803.719999999999
2017-02-17,8093.57
2017-02-18,9308.3
2017-02-19,4477.65
2017-02-20,9157.3
2017-02-21,9333.46
2017-02-22,9393.369999999999
2017-02-23,8571.86
2017-02-24,7983.01
2017-02-25,5126.18
2017-02-26,6583.5
2017-02-27,6836.77
2017-02-28,12582.52
2017-03-01,18923.170000000002
2017-03-02,13146.36
2017-03-03,14154.71
2017-03-04,15533.69
2017-03-05,8789.14
2017-03-06,13515.12
2017-03-07,13855.369999999999
2017-03-08,16769.66
2017-03-09,13828.33
2017-03-10,14518.92
2017-03-11,12503.97
2017-03-12,7853.18
2017-03-13,19306.06
2017-03-14,16542.98
2017-03-15,17364.91
2017-03-16,16653.72
2017-03-17,13611.279999999999
2017-03-18,17943.07
2017-03-19,7728.08
2017-03-20,20014.93
2017-03-21,14937.51
2017-03-22,16390.14
2017-03-23,22913.37
2017-03-24,13386.91
2017-03-25,11251.74
2017-03-26,7642.02
2017-03-27,20549.29
2017-03-28,14838.58
2017-03-29,10209.11
2017-03-30,11435.0
2017-03-31,13753.28
2017-04-01,20574.68
2017-04-02,10608.62
2017-04-03,10776.9
2017-04-04,14152.99
2017-04-05,20774.55
2017-04-06,26863.58
2017-04-07,15043.72
2017-04-08,10290.74
2017-04-09,9689.41
2017-04-10,13492.1
2017-04-11,9878.09
2017-04-12,9407.94
2017-04-13,11216.11
2017-04-14,10515.9
2017-04-15,9391.56
2017-04-16,6532.21
2017-04-17,10765.57
2017-04-18,23433.86
2017-04-19,13941.25
2017-04-20,16056.0
2017-04-21,10162.6
2017-04-22,15005.06
2017-04-23,11839.91
2017-04-24,17711.57
2017-04-25,17176.35
2017-04-26,18696.09
2017-04-27,12455.1
2017-04-28,18063.29
2017-04-29,13835.28
2017-04-30,9437.0
2017-05-01,14869.67
2017-05-02,20673.08
2017-05-03,12192.34
2017-05-04,15901.72
2017-05-05,16584.579999999998
2017-05-06,19227.55
2017-05-07,20467.98
2017-05-08,19194.68
2017-05-09,24245.05
2017-05-10,23418.4
2017-05-11,21204.04
2017-05-12,15314.460000000001
2017-05-13,10675.67
2017-05-14,17551.83
2017-05-15,21907.01
2017-05-16,24535.57
2017-05-17,21396.33
2017-05-18,20861.79
2017-05-19,21525.09
2017-05-20,12364.17
2017-05-21,20368.53
2017-05-22,28906.6
2017-05-23,20622.47
2017-05-24,26991.95
2017-05-25,18420.66
2017-05-26,12680.52
2017-05-27,16333.54
2017-05-28,11120.71
2017-05-29,22225.09
2017-05-30,17074.36
2017-05-31,24063.38
2017-06-01,21781.38
